genre,rating_cat,count
Young Adult,a4.5 to 5 stars,28
X and Erotica,a4.5 to 5 stars,11
Science Fiction,a4.5 to 5 stars,34
Romance,a4.5 to 5 stars,93
Poetry,a4.5 to 5 stars,53
Philosophy,a4.5 to 5 stars,10
Mystery,a4.5 to 5 stars,37
Manga,a4.5 to 5 stars,54
Horror,a4.5 to 5 stars,59
Fiction,a4.5 to 5 stars,85
Fantasy,a4.5 to 5 stars,263
Classics,a4.5 to 5 stars,18
Young Adult,b4 to 4.5 stars,1136
X and Erotica,b4 to 4.5 stars,146
Science Fiction,b4 to 4.5 stars,587
Romance,b4 to 4.5 stars,2059
Poetry,b4 to 4.5 stars,443
Philosophy,b4 to 4.5 stars,295
Mystery,b4 to 4.5 stars,1004
Manga,b4 to 4.5 stars,426
Horror,b4 to 4.5 stars,686
Fiction,b4 to 4.5 stars,2721
Fantasy,b4 to 4.5 stars,2597
Classics,b4 to 4.5 stars,383
Young Adult,c3.5 to 4 stars,1892
X and Erotica,c3.5 to 4 stars,130
Science Fiction,c3.5 to 4 stars,641
Romance,c3.5 to 4 stars,1609
Poetry,c3.5 to 4 stars,103
Philosophy,c3.5 to 4 stars,173
Mystery,c3.5 to 4 stars,1203
Manga,c3.5 to 4 stars,64
Horror,c3.5 to 4 stars,748
Fiction,c3.5 to 4 stars,3849
Fantasy,c3.5 to 4 stars,2028
Classics,c3.5 to 4 stars,464
Young Adult,d3 to 3.5 stars,196
X and Erotica,d3 to 3.5 stars,38
Science Fiction,d3 to 3.5 stars,51
Romance,d3 to 3.5 stars,119
Poetry,d3 to 3.5 stars,6
Philosophy,d3 to 3.5 stars,6
Mystery,d3 to 3.5 stars,77
Manga,d3 to 3.5 stars,2
Horror,d3 to 3.5 stars,70
Fiction,d3 to 3.5 stars,576
Fantasy,d3 to 3.5 stars,132
Classics,d3 to 3.5 stars,52
Young Adult,e2.5 to 3 stars,7
X and Erotica,e2.5 to 3 stars,1
Science Fiction,e2.5 to 3 stars,3
Romance,e2.5 to 3 stars,2
Horror,e2.5 to 3 stars,4
Fiction,e2.5 to 3 stars,25
Fantasy,e2.5 to 3 stars,5
Classics,e2.5 to 3 stars,1
Young Adult,f2.5 and below,1
Fantasy,f2.5 and below,2
